,actual,predicted
0,no_trend,up_trend
1,no_trend,up_trend
2,no_trend,no_trend
3,no_trend,no_trend
4,no_trend,up_trend
5,no_trend,no_trend
6,no_trend,up_trend
7,down_trend,no_trend
8,no_trend,up_trend
9,no_trend,no_trend
10,no_trend,up_trend
11,up_trend,up_trend
12,no_trend,up_trend
13,up_trend,up_trend
14,no_trend,up_trend
15,no_trend,no_trend
16,no_trend,up_trend
17,up_trend,down_trend
18,up_trend,up_trend
19,up_trend,up_trend
20,down_trend,no_trend
21,no_trend,up_trend
22,no_trend,up_trend
23,no_trend,up_trend
24,no_trend,no_trend
25,no_trend,up_trend
26,no_trend,no_trend
27,down_trend,up_trend
28,no_trend,up_trend
29,no_trend,no_trend
30,no_trend,no_trend
31,up_trend,up_trend
32,down_trend,down_trend
33,down_trend,down_trend
34,down_trend,no_trend
35,up_trend,up_trend
36,up_trend,down_trend
37,no_trend,no_trend
38,no_trend,up_trend
39,down_trend,no_trend
40,no_trend,up_trend
41,no_trend,no_trend
42,no_trend,down_trend
43,no_trend,up_trend
44,up_trend,up_trend
45,up_trend,no_trend
46,down_trend,down_trend
47,no_trend,up_trend
48,no_trend,down_trend
49,up_trend,up_trend
50,no_trend,no_trend
51,no_trend,up_trend
52,down_trend,up_trend
53,no_trend,no_trend
54,down_trend,down_trend
55,no_trend,no_trend
56,up_trend,no_trend
57,no_trend,up_trend
58,no_trend,up_trend
59,up_trend,down_trend
60,no_trend,no_trend
61,no_trend,up_trend
62,down_trend,no_trend
63,no_trend,no_trend
64,no_trend,down_trend
65,no_trend,no_trend
66,no_trend,no_trend
67,up_trend,up_trend
68,down_trend,no_trend
69,no_trend,up_trend
70,no_trend,no_trend
71,no_trend,no_trend
72,no_trend,no_trend
73,up_trend,no_trend
74,no_trend,up_trend
75,no_trend,up_trend
76,no_trend,no_trend
77,up_trend,no_trend
78,down_trend,down_trend
79,no_trend,no_trend
80,no_trend,up_trend
81,no_trend,no_trend
82,no_trend,no_trend
83,no_trend,no_trend
84,no_trend,no_trend
85,no_trend,up_trend
86,no_trend,no_trend
87,no_trend,no_trend
88,no_trend,no_trend
89,down_trend,no_trend
90,down_trend,up_trend
91,up_trend,down_trend
92,down_trend,no_trend
93,down_trend,up_trend
94,down_trend,no_trend
95,no_trend,down_trend
96,no_trend,up_trend
97,no_trend,no_trend
98,no_trend,down_trend
99,no_trend,down_trend
100,no_trend,up_trend
101,down_trend,up_trend
102,no_trend,no_trend
103,up_trend,up_trend
104,no_trend,down_trend
105,no_trend,no_trend
106,no_trend,up_trend
107,down_trend,no_trend
108,no_trend,up_trend
109,down_trend,up_trend
110,no_trend,no_trend
111,no_trend,no_trend
112,no_trend,up_trend
113,no_trend,no_trend
114,no_trend,up_trend
115,no_trend,no_trend
116,up_trend,down_trend
117,no_trend,down_trend
118,no_trend,up_trend
119,no_trend,up_trend
120,no_trend,no_trend
121,down_trend,down_trend
122,down_trend,down_trend
123,down_trend,up_trend
124,no_trend,no_trend
125,up_trend,up_trend
126,down_trend,no_trend
127,no_trend,no_trend
128,down_trend,no_trend
129,up_trend,no_trend
130,no_trend,up_trend
131,no_trend,no_trend
132,no_trend,no_trend
133,up_trend,no_trend
134,no_trend,up_trend
135,down_trend,up_trend
136,up_trend,no_trend
137,up_trend,down_trend
138,no_trend,no_trend
139,no_trend,no_trend
140,no_trend,up_trend
141,no_trend,up_trend
142,no_trend,up_trend
143,no_trend,no_trend
144,no_trend,up_trend
145,no_trend,up_trend
146,no_trend,no_trend
147,down_trend,up_trend
148,no_trend,up_trend
149,down_trend,no_trend
150,no_trend,up_trend
151,no_trend,no_trend
152,no_trend,no_trend
153,no_trend,no_trend
154,no_trend,up_trend
155,no_trend,no_trend
156,no_trend,no_trend
157,no_trend,no_trend
158,up_trend,up_trend
159,up_trend,up_trend
160,down_trend,up_trend
161,up_trend,no_trend
162,no_trend,no_trend
163,no_trend,up_trend
164,up_trend,up_trend
165,up_trend,up_trend
166,no_trend,up_trend
167,down_trend,up_trend
168,no_trend,no_trend
169,no_trend,up_trend
170,up_trend,no_trend
171,up_trend,up_trend
172,no_trend,no_trend
173,no_trend,no_trend
174,no_trend,up_trend
175,no_trend,down_trend
176,no_trend,no_trend
177,no_trend,down_trend
178,down_trend,down_trend
179,no_trend,down_trend
180,no_trend,down_trend
181,no_trend,no_trend
182,no_trend,no_trend
183,no_trend,up_trend
184,no_trend,no_trend
185,down_trend,no_trend
186,down_trend,no_trend
187,down_trend,down_trend
188,no_trend,up_trend
189,no_trend,up_trend
190,no_trend,up_trend
191,no_trend,no_trend
192,no_trend,no_trend
193,up_trend,up_trend
194,no_trend,no_trend
195,up_trend,down_trend
196,no_trend,no_trend
197,no_trend,no_trend
198,no_trend,up_trend
199,up_trend,up_trend
200,down_trend,down_trend
201,no_trend,up_trend
202,no_trend,down_trend
203,no_trend,up_trend
204,no_trend,up_trend
205,no_trend,no_trend
206,up_trend,up_trend
207,no_trend,up_trend
208,no_trend,no_trend
209,down_trend,no_trend
210,no_trend,no_trend
211,up_trend,no_trend
212,no_trend,no_trend
213,up_trend,no_trend
214,no_trend,up_trend
215,up_trend,down_trend
216,no_trend,no_trend
217,up_trend,up_trend
218,no_trend,down_trend
219,up_trend,no_trend
220,no_trend,down_trend
221,no_trend,no_trend
222,up_trend,no_trend
223,no_trend,up_trend
224,down_trend,up_trend
225,up_trend,no_trend
226,no_trend,up_trend
227,no_trend,down_trend
228,no_trend,no_trend
229,down_trend,no_trend
230,no_trend,up_trend
231,no_trend,no_trend
232,no_trend,no_trend
233,down_trend,no_trend
234,no_trend,down_trend
235,no_trend,no_trend
236,no_trend,no_trend
237,no_trend,no_trend
238,up_trend,up_trend
239,no_trend,up_trend
240,no_trend,no_trend
241,up_trend,no_trend
242,no_trend,up_trend
243,down_trend,no_trend
244,no_trend,down_trend
245,no_trend,no_trend
246,no_trend,up_trend
247,no_trend,no_trend
248,no_trend,no_trend
249,up_trend,up_trend
250,no_trend,up_trend
251,no_trend,no_trend
252,down_trend,down_trend
253,no_trend,no_trend
254,no_trend,up_trend
255,no_trend,up_trend
256,no_trend,no_trend
257,no_trend,up_trend
258,down_trend,down_trend
259,no_trend,no_trend
260,no_trend,up_trend
261,no_trend,no_trend
262,no_trend,no_trend
263,up_trend,down_trend
264,no_trend,up_trend
265,down_trend,up_trend
266,no_trend,down_trend
267,no_trend,up_trend
268,no_trend,no_trend
269,no_trend,no_trend
270,no_trend,up_trend
271,no_trend,up_trend
272,no_trend,up_trend
273,down_trend,up_trend
274,no_trend,no_trend
275,down_trend,up_trend
276,down_trend,up_trend
277,down_trend,up_trend
278,no_trend,no_trend
279,up_trend,up_trend
280,no_trend,down_trend
281,no_trend,up_trend
282,no_trend,up_trend
283,no_trend,up_trend
284,down_trend,up_trend
285,up_trend,up_trend
286,no_trend,up_trend
287,up_trend,up_trend
288,up_trend,down_trend
289,down_trend,no_trend
290,no_trend,no_trend
291,no_trend,no_trend
292,no_trend,down_trend
293,no_trend,up_trend
294,no_trend,down_trend
295,no_trend,no_trend
296,no_trend,up_trend
297,down_trend,up_trend
298,no_trend,up_trend
299,no_trend,no_trend
300,no_trend,up_trend
301,no_trend,up_trend
302,no_trend,no_trend
303,no_trend,down_trend
304,no_trend,up_trend
305,no_trend,up_trend
306,no_trend,no_trend
307,no_trend,no_trend
308,no_trend,no_trend
309,down_trend,up_trend
310,no_trend,no_trend
311,no_trend,no_trend
312,no_trend,no_trend
313,no_trend,up_trend
314,down_trend,down_trend
315,up_trend,down_trend
316,no_trend,up_trend
317,no_trend,down_trend
318,up_trend,no_trend
319,no_trend,no_trend
320,no_trend,no_trend
321,no_trend,no_trend
322,up_trend,no_trend
323,down_trend,down_trend
324,no_trend,no_trend
325,down_trend,up_trend
326,no_trend,up_trend
327,no_trend,no_trend
328,no_trend,up_trend
329,no_trend,up_trend
330,no_trend,no_trend
331,no_trend,no_trend
332,no_trend,down_trend
333,no_trend,down_trend
334,down_trend,no_trend
335,up_trend,up_trend
336,no_trend,down_trend
337,no_trend,no_trend
338,no_trend,no_trend
339,no_trend,no_trend
340,no_trend,no_trend
341,no_trend,up_trend
342,down_trend,up_trend
343,up_trend,no_trend
344,down_trend,down_trend
345,up_trend,up_trend
346,no_trend,no_trend
347,up_trend,down_trend
348,no_trend,up_trend
349,up_trend,down_trend
350,no_trend,no_trend
351,up_trend,up_trend
352,no_trend,down_trend
353,no_trend,no_trend
354,up_trend,no_trend
355,no_trend,no_trend
356,no_trend,up_trend
357,down_trend,up_trend
358,down_trend,no_trend
359,up_trend,no_trend
360,down_trend,no_trend
361,no_trend,down_trend
362,up_trend,no_trend
363,no_trend,down_trend
364,no_trend,no_trend
365,up_trend,up_trend
366,up_trend,no_trend
367,no_trend,up_trend
368,no_trend,up_trend
369,down_trend,up_trend
370,down_trend,down_trend
371,no_trend,no_trend
372,no_trend,no_trend
373,no_trend,no_trend
374,no_trend,no_trend
375,no_trend,no_trend
376,no_trend,up_trend
377,down_trend,down_trend
378,no_trend,up_trend
379,down_trend,no_trend
380,down_trend,no_trend
381,no_trend,no_trend
382,down_trend,up_trend
383,down_trend,no_trend
384,no_trend,up_trend
385,no_trend,up_trend
